RaceCode,Date,Day,State,Track,RaceNo,Time,Distance,FavSP,10,20,40,90,Runners,Barrier,WinSP
1-Jul-17 Gold Coast R1,42917,7,QLD,Gold Coast,1,0.472222222,1200,2.6,0,1,1,0,6,,2.6
1-Jul-17 Rosehill R1,42917,7,NSW,Rosehill,1,0.475694444,1400,2.4,2,2,2,0,9,,2.8
1-Jul-17 Caulfield R1,42917,7,VIC,Caulfield,1,0.486111111,1200,3.4,3,0,0,1,9,,3.4
1-Jul-17 Newcastle R1,42917,7,NSW,Newcastle,1,0.488888889,2360,1.55,2,2,0,0,7,,13
1-Jul-17 Gold Coast R2,42917,7,QLD,Gold Coast,2,0.494444444,1200,1.65,0,1,3,0,8,,31
1-Jul-17 Rosehill R2,42917,7,NSW,Rosehill,2,0.5,1500,2.9,1,0,0,0,6,,5
1-Jul-17 Mackay R1,42917,7,QLD,Mackay,1,0.502083333,1300,2.8,1,1,1,2,9,,2.9
1-Jul-17 Sunshine Coast R1,42917,7,QLD,Sunshine Coast,1,0.504861111,1000,2.7,2,1,0,1,8,,2.7
1-Jul-17 Caulfield R2,42917,7,VIC,Caulfield,2,0.510416667,2000,2.7,7,2,0,0,11,,2.7
1-Jul-17 Newcastle R2,42917,7,NSW,Newcastle,2,0.513194444,1200,2.9,1,1,0,0,6,,6
1-Jul-17 Morphettville R1,42917,7,SA,Morphettville,1,0.495138889,2024,3.3,6,0,0,0,9,,10
1-Jul-17 Gold Coast R3,42917,7,QLD,Gold Coast,3,0.51875,1100,3.7,6,1,1,1,12,,12
1-Jul-17 Casterton R1,42917,7,VIC,Casterton,1,0.521527778,3480,2.4,3,0,0,0,6,,2.4
1-Jul-17 Rosehill R3,42917,7,NSW,Rosehill,3,0.524305556,1900,3.7,4,1,1,0,11,,19
1-Jul-17 Mackay R2,42917,7,QLD,Mackay,2,0.526388889,1800,2.15,2,0,2,0,8,,3.6
1-Jul-17 Sunshine Coast R2,42917,7,QLD,Sunshine Coast,2,0.529166667,1600,3.3,3,1,0,0,8,,3.3
1-Jul-17 Gundagai R1,42917,7,NSW,Gundagai,1,0.531944444,1180,1.7,1,1,0,0,6,,1.7
1-Jul-17 Caulfield R3,42917,7,VIC,Caulfield,3,0.534722222,1600,4.6,2,1,5,1,15,,6
1-Jul-17 Newcastle R3,42917,7,NSW,Newcastle,3,0.5375,1200,3.4,2,1,1,0,9,,5
1-Jul-17 Morphettville R2,42917,7,SA,Morphettville,2,0.519444444,1100,2.6,3,4,2,1,13,,14
1-Jul-17 Gold Coast R4,42917,7,QLD,Gold Coast,4,0.543055556,1100,2.8,3,1,1,1,10,,9
1-Jul-17 Casterton R2,42917,7,VIC,Casterton,2,0.545833333,3480,2.15,0,0,2,0,6,,2.15
1-Jul-17 Rosehill R4,42917,7,NSW,Rosehill,4,0.548611111,1800,4.2,7,4,0,0,14,,8
1-Jul-17 Mackay R3,42917,7,QLD,Mackay,3,0.550694444,1560,3,2,2,0,0,9,,3
1-Jul-17 Sunshine Coast R3,42917,7,QLD,Sunshine Coast,3,0.553472222,1400,6,9,2,1,1,15,,12
1-Jul-17 Gundagai R2,42917,7,NSW,Gundagai,2,0.55625,1000,2.15,2,1,3,2,12,,6
1-Jul-17 Darwin R1,42917,7,NT,Darwin,1,0.538194444,1300,2.6,2,0,2,1,10,,8
1-Jul-17 Caulfield R4,42917,7,VIC,Caulfield,4,0.559027778,1100,3.8,3,4,4,0,16,,9
1-Jul-17 Newcastle R4,42917,7,NSW,Newcastle,4,0.561805556,1600,2.5,2,2,1,1,9,,2.5
1-Jul-17 Morphettville R3,42917,7,SA,Morphettville,3,0.54375,2600,2.3,3,0,5,0,11,,13
1-Jul-17 Gold Coast R5,42917,7,QLD,Gold Coast,5,0.567361111,1200,2.25,3,2,0,0,9,,19
1-Jul-17 Casterton R3,42917,7,VIC,Casterton,3,0.570138889,3800,2.7,1,0,1,0,8,,2.7
1-Jul-17 Rosehill R5,42917,7,NSW,Rosehill,5,0.572916667,2400,2.15,1,1,1,1,9,,2.15
1-Jul-17 Mackay R4,42917,7,QLD,Mackay,4,0.575694444,1050,4.6,4,1,1,0,11,,10
1-Jul-17 Sunshine Coast R4,42917,7,QLD,Sunshine Coast,4,0.58125,1200,3.3,3,3,1,2,12,,4
1-Jul-17 Gundagai R3,42917,7,NSW,Gundagai,3,0.584027778,1800,3.9,3,2,2,0,12,,7.5
1-Jul-17 Darwin R2,42917,7,NT,Darwin,2,0.564583333,1200,2.25,5,2,0,0,10,,10
1-Jul-17 Caulfield R5,42917,7,VIC,Caulfield,5,0.586805556,1200,4.6,2,1,1,0,10,,8
1-Jul-17 Newcastle R5,42917,7,NSW,Newcastle,5,0.589583333,1400,3.8,1,0,1,0,8,,3.8
1-Jul-17 Morphettville R4,42917,7,SA,Morphettville,4,0.571527778,1050,2.35,2,2,0,0,8,,2.35
1-Jul-17 Gold Coast R6,42917,7,QLD,Gold Coast,6,0.595138889,1200,3.8,1,2,0,2,10,,6.5
1-Jul-17 Casterton R4,42917,7,VIC,Casterton,4,0.597916667,1100,2.3,1,0,1,0,6,,6.5
1-Jul-17 Rosehill R6,42917,7,NSW,Rosehill,6,0.600694444,1200,3.4,3,2,1,0,10,,12
1-Jul-17 Mackay R5,42917,7,QLD,Mackay,5,0.603472222,1300,5,6,2,1,1,14,,7
1-Jul-17 Belmont R1,42917,7,WA,Belmont,1,0.522916667,1000,1.85,1,0,1,3,9,,5.5
1-Jul-17 Sunshine Coast R5,42917,7,QLD,Sunshine Coast,5,0.609027778,1200,3.9,3,3,5,1,16,,3.9
1-Jul-17 Gundagai R4,42917,7,NSW,Gundagai,4,0.611805556,1400,4.8,4,2,1,0,12,,4.8
1-Jul-17 Darwin R3,42917,7,NT,Darwin,3,0.592361111,1200,3.8,2,3,2,0,12,,3.8
1-Jul-17 Caulfield R6,42917,7,VIC,Caulfield,6,0.614583333,1400,3.4,2,5,1,0,12,,21
1-Jul-17 Newcastle R6,42917,7,NSW,Newcastle,6,0.617361111,900,2.5,1,2,1,1,10,,3.6
1-Jul-17 Morphettville R5,42917,7,SA,Morphettville,5,0.599305556,1800,2.5,2,2,2,1,11,,15
1-Jul-17 Gold Coast R7,42917,7,QLD,Gold Coast,7,0.622916667,1800,4,3,1,2,1,12,,7.5
1-Jul-17 Casterton R5,42917,7,VIC,Casterton,5,0.625694444,1200,3.4,1,1,1,0,8,,4.6
1-Jul-17 Rosehill R7,42917,7,NSW,Rosehill,7,0.628472222,1350,4.2,4,1,3,0,13,,5.5
1-Jul-17 Mackay R6,42917,7,QLD,Mackay,6,0.63125,1200,2.35,2,1,3,1,11,,13
1-Jul-17 Belmont R2,42917,7,WA,Belmont,2,0.550694444,1000,2.9,4,0,0,1,8,,2.9
1-Jul-17 Sunshine Coast R6,42917,7,QLD,Sunshine Coast,6,0.636805556,2400,3.5,2,2,1,3,12,,3.8
1-Jul-17 Gundagai R5,42917,7,NSW,Gundagai,5,0.639583333,1180,4,3,3,1,0,11,,11
1-Jul-17 Darwin R4,42917,7,NT,Darwin,4,0.620138889,1100,4,3,2,0,1,11,,7
1-Jul-17 Caulfield R7,42917,7,VIC,Caulfield,7,0.642361111,1400,6,6,1,1,0,12,,41
1-Jul-17 Newcastle R7,42917,7,NSW,Newcastle,7,0.645138889,1200,2.5,3,0,0,0,7,,2.5
1-Jul-17 Morphettville R6,42917,7,SA,Morphettville,6,0.627083333,1200,3.1,4,4,2,0,13,,21
1-Jul-17 Gold Coast R8,42917,7,QLD,Gold Coast,8,0.650694444,1400,3.2,2,0,1,0,8,,3.2
1-Jul-17 Casterton R6,42917,7,VIC,Casterton,6,0.653472222,2000,3.5,5,2,0,1,12,,3.5
1-Jul-17 Rosehill R8,42917,7,NSW,Rosehill,8,0.65625,1100,2.4,1,5,1,0,11,,4.6
1-Jul-17 Mackay R7,42917,7,QLD,Mackay,7,0.659027778,1800,4.2,2,1,3,0,12,,9.5
1-Jul-17 Belmont R3,42917,7,WA,Belmont,3,0.578472222,1300,1.45,4,1,1,0,8,,1.45
1-Jul-17 Sunshine Coast R7,42917,7,QLD,Sunshine Coast,7,0.664583333,1400,4.4,7,1,0,1,13,,6
1-Jul-17 Gundagai R6,42917,7,NSW,Gundagai,6,0.667361111,1000,1.8,2,4,3,0,12,,8.5
1-Jul-17 Caulfield R8,42917,7,VIC,Caulfield,8,0.670138889,1200,4.8,1,3,2,1,13,,7
1-Jul-17 Darwin R5,42917,7,NT,Darwin,5,0.650694444,1000,2.6,3,1,0,0,7,,3.5
1-Jul-17 Newcastle R8,42917,7,NSW,Newcastle,8,0.672916667,1600,1.75,2,4,0,0,9,,5.5
1-Jul-17 Morphettville R7,42917,7,SA,Morphettville,7,0.654861111,1200,2.3,1,3,0,0,7,,2.3
1-Jul-17 Gold Coast R9,42917,7,QLD,Gold Coast,9,0.678472222,1400,2.05,4,1,2,0,10,,14
1-Jul-17 Casterton R7,42917,7,VIC,Casterton,7,0.68125,1400,3.7,3,3,2,2,14,,19
1-Jul-17 Mackay R8,42917,7,QLD,Mackay,8,0.682638889,1100,3,3,3,2,1,13,,14
1-Jul-17 Rosehill R9,42917,7,NSW,Rosehill,9,0.684027778,1500,2.6,2,4,3,3,16,,12
1-Jul-17 Belmont R4,42917,7,WA,Belmont,4,0.602777778,1400,2.3,6,0,1,0,10,,11
1-Jul-17 Sunshine Coast R8,42917,7,QLD,Sunshine Coast,8,0.688888889,1600,3.8,4,3,1,4,16,,6.5
1-Jul-17 Caulfield R9,42917,7,VIC,Caulfield,9,0.694444444,1800,5,4,2,3,1,15,,12
1-Jul-17 Darwin R6,42917,7,NT,Darwin,6,0.676388889,1600,2.4,3,0,2,1,10,,2.4
1-Jul-17 Morphettville R8,42917,7,SA,Morphettville,8,0.681944444,1600,3.3,2,2,2,0,11,,9
1-Jul-17 Belmont R5,42917,7,WA,Belmont,5,0.627777778,1600,2.9,1,2,1,2,10,,2.9
1-Jul-17 Sunshine Coast R9,42917,7,QLD,Sunshine Coast,9,0.713888889,1200,7,10,1,0,2,16,,7
1-Jul-17 Darwin R7,42917,7,NT,Darwin,7,0.701388889,1300,4,2,3,1,1,12,,8
1-Jul-17 Belmont R6,42917,7,WA,Belmont,6,0.652777778,1600,5,8,2,1,0,14,,51
1-Jul-17 Belmont R7,42917,7,WA,Belmont,7,0.677083333,2000,1.24,2,2,1,2,9,,1.24
1-Jul-17 Belmont R8,42917,7,WA,Belmont,8,0.701388889,1200,2.7,8,0,1,2,12,,5
2-Jul-17 Sale R1,42918,1,VIC,Sale,1,0.496527778,2232,3.5,3,1,1,1,11,,5
2-Jul-17 Launceston R1,42918,1,TAS,Launceston,1,0.503472222,1220,2.9,4,2,0,0,10,,2.9
2-Jul-17 Toowoomba R1,42918,1,QLD,Toowoomba,1,0.506944444,1310,2.4,0,1,3,0,9,,6
2-Jul-17 Mudgee R1,42918,1,NSW,Mudgee,1,0.513888889,1500,3.2,1,1,1,6,14,,3.5
2-Jul-17 Sale R2,42918,1,VIC,Sale,2,0.520833333,1208,3.6,2,1,1,0,9,,4
2-Jul-17 Nowra R1,42918,1,NSW,Nowra,1,0.524305556,1100,1.6,4,0,4,2,12,,1.6
2-Jul-17 Launceston R2,42918,1,TAS,Launceston,2,0.527777778,1420,2.4,0,1,2,1,10,,6.1
2-Jul-17 Toowoomba R2,42918,1,QLD,Toowoomba,2,0.53125,1210,2,3,1,3,0,10,,17
2-Jul-17 Mudgee R2,42918,1,NSW,Mudgee,2,0.538194444,1200,2.4,3,0,3,4,14,,18
2-Jul-17 Sale R3,42918,1,VIC,Sale,3,0.541666667,1208,2.45,7,2,0,0,11,,11
2-Jul-17 Bordertown R1,42918,1,SA,Bordertown,1,0.524305556,1550,3.8,0,2,0,0,8,,3.8
2-Jul-17 Nowra R2,42918,1,NSW,Nowra,2,0.548611111,1100,2.45,2,2,0,0,7,,2.7
2-Jul-17 Launceston R3,42918,1,TAS,Launceston,3,0.552083333,2150,2.1,1,1,0,0,7,,2.1
2-Jul-17 Toowoomba R3,42918,1,QLD,Toowoomba,3,0.555555556,1000,2.7,2,1,3,1,11,,19
2-Jul-17 Sale R4,42918,1,VIC,Sale,4,0.5625,1208,2.9,3,2,1,3,13,,7.5
2-Jul-17 Mudgee R3,42918,1,NSW,Mudgee,3,0.565972222,1200,2.4,4,1,1,5,14,,13
2-Jul-17 Bordertown R2,42918,1,SA,Bordertown,2,0.548611111,1300,2.9,0,3,1,0,10,,31
2-Jul-17 Nowra R3,42918,1,NSW,Nowra,3,0.572916667,1100,1.95,1,0,2,0,7,,1.95
2-Jul-17 Launceston R4,42918,1,TAS,Launceston,4,0.576388889,1420,2.4,0,1,1,0,7,,5.3
2-Jul-17 Toowoomba R4,42918,1,QLD,Toowoomba,4,0.579861111,1210,2.5,2,0,1,0,7,,8
2-Jul-17 Sale R5,42918,1,VIC,Sale,5,0.583333333,1419,2.7,1,7,1,0,12,,7
2-Jul-17 Mudgee R4,42918,1,NSW,Mudgee,4,0.590277778,1200,3.5,3,1,1,0,9,,3.5
2-Jul-17 Bordertown R3,42918,1,SA,Bordertown,3,0.572916667,1100,1.9,3,1,2,3,12,,13
2-Jul-17 Nowra R4,42918,1,NSW,Nowra,4,0.599305556,1200,4.2,3,1,1,1,11,,5
2-Jul-17 Launceston R5,42918,1,TAS,Launceston,5,0.602083333,1620,2.5,2,1,0,0,7,,3.8
2-Jul-17 Sale R6,42918,1,VIC,Sale,6,0.604166667,1617,3.6,3,1,1,0,9,,3.7
2-Jul-17 Toowoomba R5,42918,1,QLD,Toowoomba,5,0.607638889,2170,3.1,4,0,1,1,11,,3.1
2-Jul-17 Mudgee R5,42918,1,NSW,Mudgee,5,0.614583333,1400,2.9,2,2,0,1,10,,2.9
2-Jul-17 Bordertown R4,42918,1,SA,Bordertown,4,0.596527778,1550,5.5,4,3,0,0,12,,6
2-Jul-17 Kalgoorlie R1,42918,1,WA,Kalgoorlie,1,0.536805556,1100,1.85,1,0,2,0,6,,3.2
2-Jul-17 Nowra R5,42918,1,NSW,Nowra,5,0.622916667,1600,3.4,2,1,0,1,9,,6
2-Jul-17 Sale R7,42918,1,VIC,Sale,7,0.625,1736,4,0,1,1,0,9,,7
2-Jul-17 Launceston R6,42918,1,TAS,Launceston,6,0.628472222,1220,2.4,1,3,1,1,10,,4.3
2-Jul-17 Toowoomba R6,42918,1,QLD,Toowoomba,6,0.631944444,1650,2.3,3,1,1,0,9,,2.3
2-Jul-17 Alice Springs R1,42918,1,NT,Alice Springs,1,0.614583333,1200,2.3,0,0,0,0,4,,4.2
2-Jul-17 Mudgee R6,42918,1,NSW,Mudgee,6,0.638194444,1600,4,4,3,1,1,13,,7
2-Jul-17 Bordertown R5,42918,1,SA,Bordertown,5,0.620138889,1100,3.6,3,3,0,0,10,,3.8
2-Jul-17 Kalgoorlie R2,42918,1,WA,Kalgoorlie,2,0.560416667,1300,2.3,1,1,3,2,10,,2.3
2-Jul-17 Sale R8,42918,1,VIC,Sale,8,0.645833333,1419,1.95,4,1,1,1,10,,1.95
2-Jul-17 Nowra R6,42918,1,NSW,Nowra,6,0.649305556,1400,4.6,1,3,0,0,10,,7
2-Jul-17 Launceston R7,42918,1,TAS,Launceston,7,0.652777778,1220,3.1,3,1,0,0,8,,3.6
2-Jul-17 Toowoomba R7,42918,1,QLD,Toowoomba,7,0.65625,1050,2.15,2,4,2,0,11,,17
2-Jul-17 Alice Springs R2,42918,1,NT,Alice Springs,2,0.638194444,1200,3.4,1,0,0,0,7,,3.4
2-Jul-17 Mudgee R7,42918,1,NSW,Mudgee,7,0.661805556,1600,3.4,7,3,0,0,13,,10
2-Jul-17 Bordertown R6,42918,1,SA,Bordertown,6,0.64375,2000,4.2,6,0,1,0,12,,15
2-Jul-17 Sale R9,42918,1,VIC,Sale,9,0.666666667,1008,5,3,2,0,1,10,,5
2-Jul-17 Kalgoorlie R3,42918,1,WA,Kalgoorlie,3,0.586805556,1200,4.2,0,0,1,0,8,,9.5
2-Jul-17 Nowra R7,42918,1,NSW,Nowra,7,0.673611111,1400,2.35,2,2,3,0,10,,2.35
2-Jul-17 Launceston R8,42918,1,TAS,Launceston,8,0.677083333,1420,1.5,2,2,0,0,7,,1.5
2-Jul-17 Toowoomba R8,42918,1,QLD,Toowoomba,8,0.679861111,1210,2.6,1,2,2,1,10,,2.9
2-Jul-17 Alice Springs R3,42918,1,NT,Alice Springs,3,0.661805556,1100,2.5,1,1,0,0,6,,2.5
2-Jul-17 Mudgee R8,42918,1,NSW,Mudgee,8,0.685416667,2000,2.7,3,6,1,1,14,,2.7
2-Jul-17 Sale R10,42918,1,VIC,Sale,10,0.6875,1208,3.1,3,1,0,0,8,,3.2
2-Jul-17 Bordertown R7,42918,1,SA,Bordertown,7,0.670138889,1300,2.6,3,3,1,1,12,,17
2-Jul-17 Kalgoorlie R4,42918,1,WA,Kalgoorlie,4,0.611111111,1100,2.9,2,1,0,0,8,,2.9
2-Jul-17 Alice Springs R4,42918,1,NT,Alice Springs,4,0.684027778,1400,1.95,0,1,2,0,7,,1.95
2-Jul-17 Kalgoorlie R5,42918,1,WA,Kalgoorlie,5,0.635416667,1760,1.75,2,1,1,1,8,,12
2-Jul-17 Alice Springs R5,42918,1,NT,Alice Springs,5,0.711805556,1400,1.65,1,0,0,0,5,,6
2-Jul-17 Kalgoorlie R6,42918,1,WA,Kalgoorlie,6,0.659722222,1400,1.75,5,2,1,0,10,,1.75
2-Jul-17 Kalgoorlie R7,42918,1,WA,Kalgoorlie,7,0.684027778,1200,1.95,3,2,2,0,10,,3.8
3-Jul-17 Taree R1,42919,2,NSW,Taree,1,0.510416667,1007,1.55,3,3,2,0,10,,1.55
3-Jul-17 Taree R2,42919,2,NSW,Taree,2,0.534722222,1007,2.35,0,2,0,1,7,,2.5
3-Jul-17 Mildura R1,42919,2,VIC,Mildura,1,0.541666667,1000,1.65,1,0,1,2,8,,4.4
3-Jul-17 Taree R3,42919,2,NSW,Taree,3,0.559027778,1257,3.3,2,1,3,1,11,,3.3
3-Jul-17 Mildura R2,42919,2,VIC,Mildura,2,0.5625,1200,1.9,2,1,3,0,9,,4.4
3-Jul-17 Mildura R3,42919,2,VIC,Mildura,3,0.583333333,1200,2.8,0,1,3,3,12,,3.3
3-Jul-17 Taree R4,42919,2,NSW,Taree,4,0.586805556,1257,2.3,2,1,1,1,9,,2.3
3-Jul-17 Mildura R4,42919,2,VIC,Mildura,4,0.604166667,1400,2.7,4,1,3,2,13,,3.9
3-Jul-17 Taree R5,42919,2,NSW,Taree,5,0.611111111,1412,4,4,4,0,0,12,,17
3-Jul-17 Mildura R5,42919,2,VIC,Mildura,5,0.625,2000,3,1,1,3,0,10,,3.8
3-Jul-17 Taree R6,42919,2,NSW,Taree,6,0.635416667,1614,3.1,2,3,2,0,12,,6.5
3-Jul-17 Mildura R6,42919,2,VIC,Mildura,6,0.645833333,1100,2.5,3,1,2,0,10,,2.5
3-Jul-17 Taree R7,42919,2,NSW,Taree,7,0.659722222,1257,2,3,2,1,2,12,,2
3-Jul-17 Mildura R7,42919,2,VIC,Mildura,7,0.666666667,1400,5,5,1,4,0,14,,5.5
3-Jul-17 Taree R8,42919,2,NSW,Taree,8,0.684027778,1257,3.9,5,3,0,0,12,,5
3-Jul-17 Mildura R8,42919,2,VIC,Mildura,8,0.6875,1200,1.85,3,3,1,2,11,,1.85
4-Jul-17 Corowa R1,42920,3,NSW,Corowa,1,0.520833333,1000,2.1,0,1,6,2,14,,71
4-Jul-17 Muswellbrook R1,42920,3,NSW,Muswellbrook,1,0.53125,1000,1.35,1,0,3,1,8,,1.35
4-Jul-17 Geelong Synthetic R1,42920,3,VIC,Geelong Synthetic,1,0.541666667,2100,1.6,1,0,2,0,7,,1.6
4-Jul-17 Corowa R2,42920,3,NSW,Corowa,2,0.545138889,1300,3.2,4,2,2,2,14,,8
4-Jul-17 Muswellbrook R2,42920,3,NSW,Muswellbrook,2,0.555555556,1000,2.8,2,1,1,0,7,,17
4-Jul-17 Geelong Synthetic R2,42920,3,VIC,Geelong Synthetic,2,0.5625,1200,2.3,1,0,3,0,9,,5
4-Jul-17 Corowa R3,42920,3,NSW,Corowa,3,0.569444444,1300,2.8,6,1,1,1,13,,20
4-Jul-17 Muswellbrook R3,42920,3,NSW,Muswellbrook,3,0.579861111,1280,1.45,4,1,0,2,9,,1.45
4-Jul-17 Geelong Synthetic R3,42920,3,VIC,Geelong Synthetic,3,0.583333333,1000,3.2,0,1,3,2,11,,5.5
4-Jul-17 Corowa R4,42920,3,NSW,Corowa,4,0.59375,1600,2.05,3,4,1,2,13,,2.05
4-Jul-17 Geelong Synthetic R4,42920,3,VIC,Geelong Synthetic,4,0.604166667,2200,2.35,1,0,2,0,7,,10
4-Jul-17 Muswellbrook R4,42920,3,NSW,Muswellbrook,4,0.607638889,1280,1.9,2,2,1,3,12,,5
4-Jul-17 Corowa R5,42920,3,NSW,Corowa,5,0.618055556,1600,3.6,1,3,2,1,12,,5.5
4-Jul-17 Geelong Synthetic R5,42920,3,VIC,Geelong Synthetic,5,0.625,1200,2.5,1,0,0,1,7,,5
4-Jul-17 Muswellbrook R5,42920,3,NSW,Muswellbrook,5,0.631944444,1000,4.2,3,3,0,1,11,,4.6
4-Jul-17 Corowa R6,42920,3,NSW,Corowa,6,0.642361111,1600,2.6,2,0,2,2,12,,9
4-Jul-17 Geelong Synthetic R6,42920,3,VIC,Geelong Synthetic,6,0.645833333,1300,2.8,3,2,0,1,10,,13
4-Jul-17 Muswellbrook R6,42920,3,NSW,Muswellbrook,6,0.65625,1000,2.3,0,3,2,0,9,,3.3
4-Jul-17 Geelong Synthetic R7,42920,3,VIC,Geelong Synthetic,7,0.666666667,1000,3.7,3,3,2,0,12,,3.7
4-Jul-17 Corowa R7,42920,3,NSW,Corowa,7,0.670138889,1000,3,2,1,0,0,7,,3.4
4-Jul-17 Muswellbrook R7,42920,3,NSW,Muswellbrook,7,0.680555556,1500,2.6,5,3,1,2,14,,12
4-Jul-17 Geelong Synthetic R8,42920,3,VIC,Geelong Synthetic,8,0.6875,1200,4.8,3,1,0,3,12,,6
4-Jul-17 Corowa R8,42920,3,NSW,Corowa,8,0.694444444,1000,2.9,5,1,4,1,14,,5.5
5-Jul-17 Gold Coast R1,42921,4,QLD,Gold Coast,1,0.5,1100,2.9,3,0,1,2,9,,3.4
5-Jul-17 Gold Coast R2,42921,4,QLD,Gold Coast,2,0.524305556,1400,2.15,3,1,0,3,10,,15
5-Jul-17 Murray Bridge R1,42921,4,SA,Murray Bridge,1,0.508333333,3292,1.75,0,0,1,0,3,,1.75
5-Jul-17 Canterbury R1,42921,4,NSW,Canterbury,1,0.534722222,1200,1.7,2,1,3,0,9,,1.7
5-Jul-17 Sandown Lakeside R1,42921,4,VIC,Sandown Lakeside,1,0.541666667,1200,1.7,4,2,2,2,12,,1.7
5-Jul-17 Gold Coast R3,42921,4,QLD,Gold Coast,3,0.548611111,1400,3.5,3,2,0,0,10,,3.5
5-Jul-17 Murray Bridge R2,42921,4,SA,Murray Bridge,2,0.532638889,1006,2.6,1,1,0,0,6,,2.6
5-Jul-17 Canterbury R2,42921,4,NSW,Canterbury,2,0.559027778,1250,3,1,1,0,0,7,,3.6
5-Jul-17 Sandown Lakeside R2,42921,4,VIC,Sandown Lakeside,2,0.5625,1300,4,3,2,4,2,15,,5.5
5-Jul-17 Gold Coast R4,42921,4,QLD,Gold Coast,4,0.572916667,900,1.8,1,1,1,0,8,,9.5
5-Jul-17 Murray Bridge R3,42921,4,SA,Murray Bridge,3,0.556944444,1406,1.55,3,3,1,0,9,,10
5-Jul-17 Sandown Lakeside R3,42921,4,VIC,Sandown Lakeside,3,0.583333333,1400,4,5,0,1,1,11,,8
5-Jul-17 Canterbury R3,42921,4,NSW,Canterbury,3,0.586805556,1200,2.05,0,1,3,0,8,,51
5-Jul-17 Belmont R1,42921,4,WA,Belmont,1,0.508333333,1300,1.6,3,2,1,6,14,,7
5-Jul-17 Gold Coast R5,42921,4,QLD,Gold Coast,5,0.597222222,1400,3.2,2,2,0,0,8,,21
5-Jul-17 Murray Bridge R4,42921,4,SA,Murray Bridge,4,0.58125,1006,1.9,3,3,1,0,10,,81
5-Jul-17 Sandown Lakeside R4,42921,4,VIC,Sandown Lakeside,4,0.604166667,1200,4,3,0,0,0,7,,4.4
5-Jul-17 Canterbury R4,42921,4,NSW,Canterbury,4,0.611111111,1100,3.5,4,0,1,0,9,,5.5
5-Jul-17 Belmont R2,42921,4,WA,Belmont,2,0.532638889,1300,3,3,2,3,0,12,,9
5-Jul-17 Gold Coast R6,42921,4,QLD,Gold Coast,6,0.621527778,1800,3.8,5,2,0,0,11,,15
5-Jul-17 Sandown Lakeside R5,42921,4,VIC,Sandown Lakeside,5,0.625,2100,7,5,1,1,0,13,,7
5-Jul-17 Murray Bridge R5,42921,4,SA,Murray Bridge,5,0.609027778,1406,5.5,1,4,0,1,12,,5.5
5-Jul-17 Canterbury R5,42921,4,NSW,Canterbury,5,0.635416667,1580,2.05,2,2,2,0,10,,2.05
5-Jul-17 Belmont R3,42921,4,WA,Belmont,3,0.556944444,1700,4.2,3,1,0,1,10,,5.5
5-Jul-17 Sandown Lakeside R6,42921,4,VIC,Sandown Lakeside,6,0.645833333,1400,4.4,6,1,1,0,12,,15
5-Jul-17 Gold Coast R7,42921,4,QLD,Gold Coast,7,0.649305556,1400,2.1,5,3,1,0,11,,5
5-Jul-17 Murray Bridge R6,42921,4,SA,Murray Bridge,6,0.633333333,904,2.5,1,1,2,1,9,,13
5-Jul-17 Canterbury R6,42921,4,NSW,Canterbury,6,0.659722222,1900,5.5,4,1,0,0,11,,9.5
5-Jul-17 Belmont R4,42921,4,WA,Belmont,4,0.58125,1700,3.2,4,4,0,0,11,,12
5-Jul-17 Sandown Lakeside R7,42921,4,VIC,Sandown Lakeside,7,0.666666667,1200,4.2,2,3,1,1,13,,7
5-Jul-17 Gold Coast R8,42921,4,QLD,Gold Coast,8,0.673611111,1300,2.4,1,3,2,1,11,,9
5-Jul-17 Murray Bridge R7,42921,4,SA,Murray Bridge,7,0.657638889,1206,3.6,2,1,1,2,12,,3.6
5-Jul-17 Canterbury R7,42921,4,NSW,Canterbury,7,0.684027778,1250,3.4,4,4,0,0,12,,16
5-Jul-17 Sandown Lakeside R8,42921,4,VIC,Sandown Lakeside,8,0.6875,1600,5,8,3,1,1,16,,9.5
5-Jul-17 Belmont R5,42921,4,WA,Belmont,5,0.607638889,2100,4.8,1,2,3,0,12,,41
5-Jul-17 Murray Bridge R8,42921,4,SA,Murray Bridge,8,0.684027778,1606,3.4,2,2,0,1,11,,7.5
5-Jul-17 Belmont R6,42921,4,WA,Belmont,6,0.635416667,1200,2.4,2,1,4,2,13,,2.4
5-Jul-17 Belmont R7,42921,4,WA,Belmont,7,0.663194444,1400,3,3,2,2,1,12,,71
5-Jul-17 Belmont R8,42921,4,WA,Belmont,8,0.690972222,1000,3.6,3,2,3,0,11,,3.6
6-Jul-17 Grafton R1,42922,5,NSW,Grafton,1,0.5,1006,3.4,4,3,1,0,12,,3.4
6-Jul-17 Rockhampton R1,42922,5,QLD,Rockhampton,1,0.505555556,1823,1.55,1,0,1,0,5,,1.55
6-Jul-17 Hawkesbury R1,42922,5,NSW,Hawkesbury,1,0.513888889,1000,1.85,1,2,0,1,7,,1.85
6-Jul-17 Cranbourne R1,42922,5,VIC,Cranbourne,1,0.520833333,1000,2.7,1,4,2,2,12,,4.4
6-Jul-17 Grafton R2,42922,5,NSW,Grafton,2,0.524305556,1610,2.6,2,3,2,2,14,,8
6-Jul-17 Rockhampton R2,42922,5,QLD,Rockhampton,2,0.529861111,1050,1.3,3,2,1,1,9,,1.3
